name,name_citation,designation,designation_citation,profile_image_url,profile_image_url_citation
Dr. Rahul Shajan,https://sjcetpalai.ac.in/mcahome/,Associate Professor & Head,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2023/07/WhatsApp-Image-2023-07-13-at-22.32.59.jpg,https://sjcetpalai.ac.in/mcahome/
Mr. Alex Jose,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2017/12/MCA_alex_jose.jpg,https://sjcetpalai.ac.in/mcahome/
Ms. Liz George,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2017/12/MCA_LIZ-GERORGE.jpg,https://sjcetpalai.ac.in/mcahome/
Mr. Anish Augustine,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2017/12/MCA_anish_augustine.jpg,https://sjcetpalai.ac.in/mcahome/
Mr. Akhil Sekharan,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2017/12/MCA_jish-1.jpg,https://sjcetpalai.ac.in/mcahome/
Mr. Sumithmon KS,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2017/12/sumith-mca.png,https://sjcetpalai.ac.in/mcahome/
Rev. Dr. Jeethu Mathew,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2023/06/Fr-jithu-Aranjani.jpg,https://sjcetpalai.ac.in/mcahome/
Ms. Jeena Maria Sebastian,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2024/09/Jeena-Miss-1004x1024.jpg,https://sjcetpalai.ac.in/mcahome/
Ms. Binila Binoy,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2024/08/Binila-Binoy.jpg,https://sjcetpalai.ac.in/mcahome/
Ms. Shilpa Elizabeth Joychen,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2025/02/Ms.-Shilpa-Elizabeth-Joychen.jpg,https://sjcetpalai.ac.in/mcahome/
Mr. Rajesh A V,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2025/07/Rajesh-A-V.jpg,https://sjcetpalai.ac.in/mcahome/
Ms. Nigy Antony,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2025/07/Nigy-Antony_Photo.jpeg,https://sjcetpalai.ac.in/mcahome/
Ms. Regi Manoj,https://sjcetpalai.ac.in/mcahome/,Assistant Professor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2025/07/RegiManoj.jpg,https://sjcetpalai.ac.in/mcahome/
Mr. Aneesh Sankar,https://sjcetpalai.ac.in/mcahome/,Instructor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2017/12/Aneesh-Shankar-MCA.jpg,https://sjcetpalai.ac.in/mcahome/
Mr. Ajay S,https://sjcetpalai.ac.in/mcahome/,Instructor,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2017/12/MCA_ajay.jpg,https://sjcetpalai.ac.in/mcahome/
Mr. Rony Jacob,https://sjcetpalai.ac.in/mcahome/,System Administrator,https://sjcetpalai.ac.in/mcahome/,https://sjcetpalai.ac.in/wp-content/uploads/2017/12/MCA_ROny.jpg,https://sjcetpalai.ac.in/mcahome/
